,0
1.1315,39
1.1314899999999999,37
1.13121,32
1.1311799999999999,31
1.13116,31
1.13048,37
1.13044,36
1.1304299999999998,34
1.13038,43
1.13037,40
1.13034,41
1.1303299999999998,57
1.13032,38
1.13031,44
1.1303,40
1.13029,35
1.13028,49
1.13027,34
1.13026,42
1.13025,44
1.13024,41
1.1302299999999998,36
1.13022,31
1.13021,46
1.1299,44
1.12985,45
1.12984,41
1.12983,35
1.12982,45
1.1298,39
1.12978,36
1.1297700000000002,35
1.12976,35
1.12975,33
1.12974,40
1.12973,33
1.12972,37
1.12968,37
1.12962,34
1.1296,41
1.12953,38
1.12765,34
1.12763,40
1.12762,34
1.12761,31
1.12755,36
1.12752,31
1.1275,31
1.12634,34
1.1263299999999998,33
1.12624,40
1.12622,36
1.12614,33
1.12608,32
1.12605,34
1.1260299999999999,33
1.12602,31
1.126,42
1.12599,53
1.12598,56
1.1259700000000001,33
1.12595,39
1.12594,55
1.1259299999999999,47
1.12592,33
1.1259,32
1.12589,53
1.12588,41
1.12585,42
1.1258299999999999,34
1.1258,37
1.12575,34
1.12574,36
1.1257,32
1.1256,40
1.1255700000000002,31
1.1255,32
1.12527,31
1.12517,39
1.12509,42
1.125,42
1.12499,31
1.1249799999999999,39
1.12468,39
1.1246399999999999,32
1.12463,46
1.1246200000000002,33
1.1246,34
1.12459,38
1.12458,48
1.12457,34
1.12455,38
1.1245399999999999,47
1.12453,58
1.12452,61
1.1245100000000001,47
1.1245,57
1.12449,50
1.12448,52
1.12447,51
1.12446,44
1.12445,41
1.1244399999999999,45
1.1244299999999998,49
1.12442,39
1.1244100000000001,37
1.1244,38
1.12439,52
1.12438,60
1.12437,41
1.12436,37
1.1243299999999998,34
1.12432,34
1.12429,42
1.12424,32
1.1242299999999998,51
1.12421,31
1.12419,31
1.12418,37
1.12415,39
1.12414,44
1.1241299999999999,48
1.12412,32
1.12408,38
1.12404,34
1.12402,38
1.1239299999999999,34
1.12388,31
1.1237700000000002,34
1.12372,37
1.1236899999999999,33
1.12368,32
1.1236700000000002,39
1.12366,34
1.12365,33
1.12364,37
1.12362,31
1.1233600000000001,32
1.1231799999999998,33
1.12317,32
1.12316,46
1.1231,40
1.12306,40
1.12304,35
1.12303,31
1.123,40
1.12297,43
1.12296,44
1.12295,33
1.1229200000000001,38
1.1229,32
1.1228799999999999,39
1.12287,32
1.12286,35
1.12285,43
1.12284,41
1.12283,38
1.1228200000000002,48
1.12281,42
1.1228,32
1.12279,36
1.12276,44
1.12275,36
1.1227200000000002,35
1.12271,37
1.1227,41
1.12269,44
1.1226399999999999,41
1.12261,35
1.1226,36
1.12259,37
1.12253,36
1.1225100000000001,32
1.1225,31
1.12247,31
1.1224399999999999,43
1.1224299999999998,39
1.1224,31
1.12239,37
1.12238,38
1.12235,32
1.12234,57
1.1223299999999998,49
1.12232,40
1.12228,54
1.12227,35
1.12224,38
1.12222,35
1.1222,32
1.12216,37
1.12215,31
1.12212,32
1.12185,32
1.12182,32
1.12176,35
1.12175,33
1.1215600000000001,31
1.12058,33
1.12038,32
1.12022,34
